# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
256.9816084, 238.4010881, 95.5508589, -1.2779434, -0.0018250, 35.8527813, 0.4796678
257.9815368, 239.3587151, 95.8386461, -1.2797850, -0.0018587, 35.8661566, 0.4760705
258.9814652, 240.3168609, 96.1246482, -1.2816623, -0.0018961, 35.8794267, -13.3259375
259.9813937, 241.2755546, 96.4088353, -1.2835770, -0.0019336, 35.5061022, -14.1920657
260.9813221, 242.2348043, 96.6911706, -1.2855293, -0.0019712, 35.1041478, -14.0764373
261.9812506, 243.1945914, 96.9716069, -1.2875273, -0.0020256, 34.7008694, -13.9638888
262.9811790, 244.1549539, 97.2501013, -1.2895802, -0.0020803, 34.2961303, -13.8547557
263.9811074, 245.1159047, 97.5266006, -1.2916878, -0.0021351, 33.8897776, -13.7355167
264.9810359, 246.0774213, 97.8010393, -1.2938559, -0.0022019, 33.4820543, -13.6200305
265.9809643, 247.0395518, 98.0733637, -1.2960912, -0.0022689, 33.0727962, -13.5085119
266.9808927, 248.0023107, 98.3435082, -1.2983935, -0.0023359, 32.6618242, -13.3987292
267.9808212, 248.9656717, 98.6113956, -1.3007637, -0.0024051, 32.2490189, -13.2928693
268.9807496, 249.9296874, 98.8769691, -1.3032032, -0.0024742, 31.8341857, -13.1909295
269.9806781, 250.8943717, 99.1401606, -1.3057119, -0.0025434, 31.4171197, -13.0828106
270.9806065, 251.8596917, 99.4008879, -1.3082948, -0.0026231, 30.9979300, -12.9788691
271.9805349, 252.8257080, 99.6590866, -1.3109577, -0.0027030, 30.5763926, -12.8792807
272.9804634, 253.7924375, 99.9146784, -1.3137005, -0.0027829, 30.1522646, -12.7476225
273.9803918, 254.7598357, 100.1675622, -1.3165431, -0.0029040, 29.7265141, -12.6214932
274.9803202, 255.7279854, 100.4176414, -1.3195079, -0.0030260, 29.2988816, -12.5016880
275.9802487, 256.6969123, 100.6647964, -1.3225948, -0.0031480, 28.8690643, -12.3739773
276.9801771, 257.6665621, 100.9088847, -1.3258120, -0.0032875, 28.4372413, -12.2528943
277.9801056, 258.6370352, 101.1497906, -1.3291693, -0.0034275, 28.0030830, -12.1387175
278.9800340, 259.6083575, 101.3873762, -1.3326666, -0.0035675, 27.5662286, -12.0136239
279.9799624, 260.5804626, 101.6214773, -1.3363154, -0.0037315, 27.1269503, -11.8959009
